Run Number,Residual Index,Sigma Calibrated
5356,0,0.25875941132295255
5356,1,0.2587594527631443
5356,2,0.25115866263447223
5356,3,0.2587594216763011
5356,4,0.2587593960222469
5356,5,0.2587593690943422
5356,6,0.24975481106957984
5356,7,0.25875941132295255
5356,8,0.24975481106957984
5356,9,0.24975481106957984
5356,10,0.25115866263446723
5356,11,0.2587593690943422
5992,0,0.2587593960222469
5992,1,0.2587593690943422
5992,2,0.2587593690943422
5992,3,0.25875944031279874
5992,4,0.25875941132295255
5992,5,0.25115866263447223
5992,6,0.25875944031279874
5992,7,0.25685717513717576
5992,8,0.2587593960222469
5992,9,0.2515501737415054
5992,10,0.24265128651765458
5992,11,0.25875963215271053
6712,0,0.0
6712,1,0.0
6712,2,0.0
6712,3,0.0
6712,4,0.0
6712,5,0.0
6712,6,0.0
6712,7,0.0
6712,8,0.0
6712,9,0.0
6712,10,0.0
6712,11,0.0
5171,0,0.024341689527667656
5171,1,0.0247044146104651
5171,2,0.026255334652114676
5171,3,0.02505615399835448
5171,4,0.022822823468621783
5171,5,0.023149256783938654
5171,6,0.021803644509265214
5171,7,0.021488832141688445
5171,8,0.021981919585429173
5171,9,0.02217690520108048
5171,10,0.021186879901514574
5171,11,0.022071033897807645
6566,0,0.2587593690943422
6566,1,0.25875942925286716
6566,2,0.2587593960222469
6566,3,0.25115866263446723
6566,4,0.25115866263447223
6566,5,0.2587593960222469
6566,6,0.258759440313116
6566,7,0.25240249396082404
6566,8,0.2587593960222469
6566,9,0.2587594488770885
6566,10,0.2587594352770896
6566,11,0.25115866263447223
6480,0,0.25875942925286716
6480,1,0.2483780484284299
6480,2,0.25115866263446723
6480,3,0.23860665019952534
6480,4,0.2587594352770896
6480,5,0.2587594216763802
6480,6,0.2587594352770896
6480,7,0.2587594352775018
6480,8,0.2587593690943422
6480,9,0.2587593690943422
6480,10,0.25875942925285883
6480,11,0.25875942925286716
6475,0,0.2587593690943422
6475,1,0.25115866263446723
6475,2,0.24975481106957992
6475,3,0.25115866263446723
6475,4,0.25115866263446723
6475,5,0.2587593690943422
6475,6,0.2587593690943422
6475,7,0.2587594216763011
6475,8,0.24975481106957992
6475,9,0.24975481106957992
6475,10,0.25115866263446723
6475,11,0.2587593960222469
6593,0,0.258759440313116
6593,1,0.25115866263446723
6593,2,0.0
6593,3,0.25875944031279874
6593,4,0.2587594448048623
6593,5,0.25115866263446723
6593,6,0.25115866263446723
6593,7,0.24975481106957984
6593,8,0.2587593960222469
6593,9,0.2587593690943422
6593,10,0.24975481106957984
6593,11,0.25115866263447223
6376,0,0.0
6376,1,0.0
6376,2,0.0
6376,3,0.0
6376,4,0.0
6376,5,0.0
6376,6,0.0
6376,7,0.0
6376,8,0.0
6376,9,0.0
6376,10,0.0
6376,11,0.0
6151,0,0.030320096709683778
6151,1,0.029219365633896186
6151,2,0.036268897531837443
6151,3,0.033720655733388984
6151,4,0.029240090437504973
6151,5,0.029879690184608797
6151,6,0.029597146890107822
6151,7,0.029813147917156297
6151,8,0.02759099823203436
6151,9,0.02811647642715893
6151,10,0.03057316426807999
6151,11,0.03144037249265642
6426,0,0.258759440313116
6426,1,0.2587593690943422
6426,2,0.25115866263447223
6426,3,0.2587594352770896
6426,4,0.2587594216763011
6426,5,0.25115866263447223
6426,6,0.24975481106957984
6426,7,0.25115866263446723
6426,8,0.2587593960222469
6426,9,0.2587593690943422
6426,10,0.25875942925286716
6426,11,0.25875941132295255
6807,0,0.2587594958786903
6807,1,0.2587595479980322
6807,2,0.24975481106957984
6807,3,0.2587594352775018
6807,4,0.25875944031279874
6807,5,0.25115866263446723
6807,6,0.25875941132295255
6807,7,0.24975481106957992
6807,8,0.2238332180810406
6807,9,0.24738202131604453
6807,10,0.2587593960222469
6807,11,0.2587593690943422
6325,0,0.24681612388806196
6325,1,0.2587593960222469
6325,2,0.24975481106957992
6325,3,0.25875944887690067
6325,4,0.2587594448048623
6325,5,0.2587593690943422
6325,6,0.24975481106957984
6325,7,0.0
6325,8,0.25875941132295255
6325,9,0.2587594216763802
6325,10,0.2587593960222469
6325,11,0.25875941132295255
5184,0,0.030275285912995848
5184,1,0.028982382665005454
5184,2,0.03954435561971828
5184,3,0.03620594800052899
5184,4,0.030434578439805307
5184,5,0.03183989506168859
5184,6,0.028578792008518056
