Run Number,Residual Index,Sigma Calibrated
2411,0,0.02084848630243652
2411,1,0.02058997932350122
2411,2,0.02315980625243896
2411,3,0.021632885693230925
2411,4,0.019303297716119227
2411,5,0.019641083416648424
2411,6,0.018477837063488364
2411,7,0.018386340101188656
2411,8,0.019117177114727036
2411,9,0.019157099964105886
2411,10,0.018140857184460672
2411,11,0.019122351491811757
2057,0,0.0200729683178106
2057,1,0.019792330972048404
2057,2,0.021648543049188413
2057,3,0.02038583238573901
2057,4,0.018206963194245418
2057,5,0.01874852987758618
2057,6,0.017332275104089072
2057,7,0.017466058803686967
2057,8,0.018663786965884534
2057,9,0.018583523479283513
2057,10,0.017063986334830243
2057,11,0.017999787557011124
2195,0,0.02150877077272497
2195,1,0.0215308625316138
2195,2,0.024407299447137123
2195,3,0.02308469922904739
2195,4,0.020481850773494924
2195,5,0.0209842360840793
2195,6,0.019702210556777233
2195,7,0.019646641618060956
2195,8,0.019838362615233
2195,9,0.019957467552904975
2195,10,0.01927634032821862
2195,11,0.020181805215093877
5255,0,0.025816225963560223
5255,1,0.025301344012254926
5255,2,0.029157744678504505
5255,3,0.027264782389895104
5255,4,0.02393753054643777
5255,5,0.02498201469142996
5255,6,0.022587588221053338
5255,7,0.02255321712634917
5255,8,0.022161611204929207
5255,9,0.02253253828871975
5255,10,0.02226453132452874
5255,11,0.023399786088618486
6794,0,0.025716595462295926
6794,1,0.025242858268373573
6794,2,0.029107168435172033
6794,3,0.027232041643401123
6794,4,0.023984397918330846
6794,5,0.025208942285500337
6794,6,0.023171098728589454
6794,7,0.023212507603703032
6794,8,0.022329017052285172
6794,9,0.022756421836980425
6794,10,0.022872591247830195
6794,11,0.023946049274617277
5413,0,0.02493728860744358
5413,1,0.024427820878265828
5413,2,0.027630526647595265
5413,3,0.025968012748198398
5413,4,0.02315781965589771
5413,5,0.02418623317125664
5413,6,0.02210735714380952
5413,7,0.022021475913862748
5413,8,0.02166785890075243
5413,9,0.021984578071083994
5413,10,0.02161478735944934
5413,11,0.02253287415903142
6965,0,0.022325615611876168
6965,1,0.021854958539985047
6965,2,0.027498454430237393
6965,3,0.025045737696002705
6965,4,0.0210577391761783
6965,5,0.021888282113099528
6965,6,0.020619209046450458
6965,7,0.020594064557926974
6965,8,0.020338752118732664
6965,9,0.020426439244179286
6965,10,0.020253029083564873
6965,11,0.021153107144379686
5428,0,0.024035944997490344
5428,1,0.023791432178820057
5428,2,0.02680384146814856
5428,3,0.025124265415928274
5428,4,0.02239683119284577
5428,5,0.023353888547156813
