Run Number | Residual Index | Sigma Calibrated
2411 | 0 | 0.0208
2411 | 1 | 0.0206
2411 | 2 | 0.0232
2411 | 3 | 0.0216
2411 | 4 | 0.0193
2411 | 5 | 0.0196
2411 | 6 | 0.0185
2411 | 7 | 0.0184
2411 | 8 | 0.0191
2411 | 9 | 0.0192
2411 | 10 | 0.0181
2411 | 11 | 0.0191
2057 | 0 | 0.0201
2057 | 1 | 0.0198
2057 | 2 | 0.0216
2057 | 3 | 0.0204
2057 | 4 | 0.0182
2057 | 5 | 0.0187
2057 | 6 | 0.0173
2057 | 7 | 0.0175
2057 | 8 | 0.0187
2057 | 9 | 0.0186
2057 | 10 | 0.0171
2057 | 11 | 0.0180
2195 | 0 | 0.0215
2195 | 1 | 0.0215
2195 | 2 | 0.0244
2195 | 3 | 0.0231
2195 | 4 | 0.0205
2195 | 5 | 0.0210
2195 | 6 | 0.0197
2195 | 7 | 0.0196
2195 | 8 | 0.0198
2195 | 9 | 0.0200
2195 | 10 | 0.0193
2195 | 11 | 0.0202
5255 | 0 | 0.0258
5255 | 1 | 0.0253
5255 | 2 | 0.0292
5255 | 3 | 0.0273
5255 | 4 | 0.0239
5255 | 5 | 0.0250
5255 | 6 | 0.0226
5255 | 7 | 0.0226
5255 | 8 | 0.0222
5255 | 9 | 0.0225
5255 | 10 | 0.0223
5255 | 11 | 0.0234
6794 | 0 | 0.0257
6794 | 1 | 0.0252
6794 | 2 | 0.0291
6794 | 3 | 0.0272
6794 | 4 | 0.0240
6794 | 5 | 0.0252
6794 | 6 | 0.0232
6794 | 7 | 0.0232
6794 | 8 | 0.0223
6794 | 9 | 0.0228
6794 | 10 | 0.0229
6794 | 11 | 0.0239
5413 | 0 | 0.0249
5413 | 1 | 0.0244
5413 | 2 | 0.0276
5413 | 3 | 0.0260
5413 | 4 | 0.0232
5413 | 5 | 0.0242
5413 | 6 | 0.0221
5413 | 7 | 0.0220
5413 | 8 | 0.0217
5413 | 9 | 0.0220
5413 | 10 | 0.0216
5413 | 11 | 0.0225
6965 | 0 | 0.0223
6965 | 1 | 0.0219
6965 | 2 | 0.0275
6965 | 3 | 0.0250
6965 | 4 | 0.0211
6965 | 5 | 0.0219
6965 | 6 | 0.0206
6965 | 7 | 0.0206
6965 | 8 | 0.0203
6965 | 9 | 0.0204
6965 | 10 | 0.0203
6965 | 11 | 0.0212
5428 | 0 | 0.0240
5428 | 1 | 0.0238
5428 | 2 | 0.0268
5428 | 3 | 0.0251
5428 | 4 | 0.0224
5428 | 5 | 0.0234
5428 | 6 | 0.0213
5428 | 7 | 0.0214
5428 | 8 | 0.0210
5428 | 9 | 0.0213
5428 | 10 | 0.0210
5428 | 11 | 0.0220
1593 | 0 | 0.0188
1593 | 1 | 0.0185
1593 | 2 | 0.0203
1593 | 3 | 0.0190
