Run 3734: Mean_no_cut = 0.9992, Mean_PID = 0.9996, Mean_PID_Delta = 0.9992, Sigma_cut = 0.0282, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 1692: Mean_no_cut = 0.9942, Mean_PID = 0.9947, Mean_PID_Delta = 0.9956, Sigma_cut = 0.0318, Sigma_PID = 0.0309, Sigma_PID_Delta = 0.0297
Run 3991: Mean_no_cut = 1.0017, Mean_PID = 1.0022, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0286, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0260
Run 6925: Mean_no_cut = 1.0019, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6880: Mean_no_cut = 1.0009, Mean_PID = 1.0013, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0282, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 7002: Mean_no_cut = 1.0010, Mean_PID = 1.0012, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 2990: Mean_no_cut = 0.9970, Mean_PID = 0.9983, Mean_PID_Delta = 0.9972, Sigma_cut = 0.0285, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0255
Run 6996: Mean_no_cut = 1.0012, Mean_PID = 1.0014, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0279, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0255
Run 3842: Mean_no_cut = 0.9995, Mean_PID = 0.9997, Mean_PID_Delta = 0.9997, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 6569: Mean_no_cut = 0.9998, Mean_PID = 1.0015, Mean_PID_Delta = 1.0010, Sigma_cut = 0.0290, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6881: Mean_no_cut = 1.0007, Mean_PID = 1.0012, Mean_PID_Delta = 1.0005, Sigma_cut = 0.0283, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 6924: Mean_no_cut = 1.0016, Mean_PID = 1.0020, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0280, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 5000: Mean_no_cut = 0.9995, Mean_PID = 1.0008, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0302, Sigma_PID = 0.0289, Sigma_PID_Delta = 0.0274
Run 2189: Mean_no_cut = 1.0034, Mean_PID = 1.0042, Mean_PID_Delta = 1.0056, Sigma_cut = 0.0303, Sigma_PID = 0.0295, Sigma_PID_Delta = 0.0279
Run 3786: Mean_no_cut = 0.9982, Mean_PID = 0.9984, Mean_PID_Delta = 0.9981, Sigma_cut = 0.0280, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0260
Run 6997: Mean_no_cut = 1.0013, Mean_PID = 1.0015, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6697: Mean_no_cut = 0.9737, Mean_PID = 1.0001, Mean_PID_Delta = 0.9997, Sigma_cut = 0.0502, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0256
Run 6927: Mean_no_cut = 1.0017, Mean_PID = 1.0020, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6882: Mean_no_cut = 1.0010, Mean_PID = 1.0014, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0283, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 7000: Mean_no_cut = 1.0011, Mean_PID = 1.0013, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6979: Mean_no_cut = 1.0014, Mean_PID = 1.0015, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0278, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0258
Run 6819: Mean_no_cut = 0.9995, Mean_PID = 1.0019, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0293, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0263
Run 6651: Mean_no_cut = 0.9982, Mean_PID = 1.0013, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0294, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 3139: Mean_no_cut = 0.9984, Mean_PID = 0.9987, Mean_PID_Delta = 0.9992, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6978: Mean_no_cut = 1.0011, Mean_PID = 1.0012, Mean_PID_Delta = 1.0010, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 7001: Mean_no_cut = 1.0010, Mean_PID = 1.0011, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 6883: Mean_no_cut = 1.0010, Mean_PID = 1.0014, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0283, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 6926: Mean_no_cut = 1.0018, Mean_PID = 1.0020, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6818: Mean_no_cut = 0.9995, Mean_PID = 1.0019, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0293, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0263
Run 4845: Mean_no_cut = 0.9982, Mean_PID = 1.0012, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0300, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0262
Run 4568: Mean_no_cut = 0.9991, Mean_PID = 0.9994, Mean_PID_Delta = 0.9986, Sigma_cut = 0.0288, Sigma_PID = 0.0283, Sigma_PID_Delta = 0.0267
Run 6950: Mean_no_cut = 1.0012, Mean_PID = 1.0020, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0286, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6869: Mean_no_cut = 1.0014, Mean_PID = 1.0016, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0282, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0260
Run 2587: Mean_no_cut = 1.0011, Mean_PID = 1.0016, Mean_PID_Delta = 1.0020, Sigma_cut = 0.0295, Sigma_PID = 0.0289, Sigma_PID_Delta = 0.0275
Run 6769: Mean_no_cut = 1.0001, Mean_PID = 1.0026, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0289, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 1536: Mean_no_cut = 0.9917, Mean_PID = 0.9919, Mean_PID_Delta = 0.9917, Sigma_cut = 0.0318, Sigma_PID = 0.0313, Sigma_PID_Delta = 0.0290
Run 6992: Mean_no_cut = 1.0014, Mean_PID = 1.0016, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6909: Mean_no_cut = 1.0018, Mean_PID = 1.0020, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0279, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
