Run 4312: Mean_no_cut = 1.0001, Mean_PID = 1.0005, Mean_PID_Delta = 1.0001, Sigma_cut = 0.0286, Sigma_PID = 0.0281, Sigma_PID_Delta = 0.0264
Run 2024: Mean_no_cut = 0.9998, Mean_PID = 1.0003, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0315, Sigma_PID = 0.0311, Sigma_PID_Delta = 0.0294
Run 5926: Mean_no_cut = 0.9983, Mean_PID = 1.0017, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0292, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 6569: Mean_no_cut = 0.9998, Mean_PID = 1.0015, Mean_PID_Delta = 1.0010, Sigma_cut = 0.0290, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0257
Run 2787: Mean_no_cut = 0.9985, Mean_PID = 0.9986, Mean_PID_Delta = 0.9985, Sigma_cut = 0.0287, Sigma_PID = 0.0283, Sigma_PID_Delta = 0.0268
Run 7003: Mean_no_cut = 1.0019, Mean_PID = 1.0021, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 6881: Mean_no_cut = 1.0007, Mean_PID = 1.0012, Mean_PID_Delta = 1.0005, Sigma_cut = 0.0283, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 2189: Mean_no_cut = 1.0034, Mean_PID = 1.0041, Mean_PID_Delta = 1.0056, Sigma_cut = 0.0303, Sigma_PID = 0.0295, Sigma_PID_Delta = 0.0279
Run 6733: Mean_no_cut = 0.9984, Mean_PID = 1.0014, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0285, Sigma_PID = 0.0270, Sigma_PID_Delta = 0.0250
Run 6738: Mean_no_cut = 0.9984, Mean_PID = 1.0011, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0292, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0251
Run 6745: Mean_no_cut = 1.0001, Mean_PID = 1.0026, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0287, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0255
Run 4076: Mean_no_cut = 1.0017, Mean_PID = 1.0019, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0281, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
