Setting,Runs,Beam_E_GeV,HMS_Angle_deg,HMS_P0_GeV,Proton_Angle_deg,Proton_P_GeV,Electron_P_GeV,mu_data,mu_simc,dWmeas,sigma_data,sigma_simc
1,1249,10.54386781,12.395,6.117,36.96191245634636,2.9827317099588435,8.355313483352726,,,,,
2,1250,10.5436485,19.26,6.117,25.715848591711413,4.920538972775415,6.472723133890126,0.9386857326505568,0.9421618074956922,-0.0034760748451354573,0.02009887443796689,0.018801816339987374
3,1251,10.54330237,19.26,6.117,25.71652383460088,4.920319404301489,6.472592686026214,0.9476706105638956,0.9421546034134344,0.0055160071504611885,0.023862471050628626,0.018802482128891008
4,1252,10.54346881,20.7,6.117,24.10606073301756,5.288494383824608,6.110658300230727,0.9489199766669143,0.9426902024406834,0.006229774226230944,0.029639213971705432,0.025859151427961122
5,1253,10.54353183,22.12,6.117,22.688131583721773,5.633525727830449,5.770677267442197,0.9344175104522899,0.9452470112034375,-0.010829500751147525,0.06926519952848556,0.03694422236695912
6,1534,10.54371873,19.145,6.667,25.85265780183926,4.890433830839623,6.502362478500904,0.9490993279987862,0.9430991335409712,0.006000194457814967,0.027895946751819875,0.030067407821388677
7,1535,10.54366713,17.995,6.667,27.29771050064602,4.583159565373212,6.803723010204427,0.9512677649684124,0.9418753693537726,0.009392395614639781,0.025165828578533306,0.021187293810331652
8,1536,10.54363166,16.85,6.667,28.88656013060537,4.267684372980796,7.112294482786877,0.9485855060096916,0.9419371310318504,0.006648374977841209,0.023230927550881398,0.017489426405527326
9,1714,10.54402191,22.83,5.878,22.03380956571216,5.799436441533243,5.607447739174981,0.94086226388683,0.9438908050611651,-0.003028541174335042,0.03174962484810692,0.03519430923834046
10,"1715, 1716",10.544,21.68,5.878,23.11014122747508,5.528918267493996,5.874305194330276,0.9532475645312235,0.9429353933664806,0.010312171164742923,0.055756937752294976,0.026146135820762636
11,6828–6840,6.3972,24.86,4.042,30.127192492757324,3.283663634423991,3.920387616061655,0.9388055337086665,0.9407444964467321,-0.0019389627380655972,0.018175217751850197,0.017064283148126795
