New_kin,Kin_number,Kin_old,day,run_number,Type,class,Hel_scaler_status,SHMS_angle,Ibeam(uA),charge(mC),#events,duration(min),target ,prescale,coin_status,comments,goodness_code,SuperRunNumber,BeamEnergy,HMS_P,HMS_Thet,NPS_Thet,Run_Length(ks),Target_mass,Current_BCM_1,BCM1(nocut),Computer_live_time,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,HWP_Status,HMS_Pol,BCM1_Charge(nocut),BCM2_Charge(nocut),BCM4a_charge(nocut),NPS-HMS_coin_time_correction,NPS_target_distance,EL-CLEAN_Scalar,Beam_Polarization,VTP_min_clus_thresh,VTP_sing_phot_thresh,VTP_two_clus_thresh,VTP_seed_energy,VTP_width,VTP_spasrification,Loop2_fan_speed,Loop2_pressure,Loop1_fan_speed,Loop1_pressure,Loop3_fan_speed,Loop3_pressure,Replay Pass
x24_q21_p3,1,KinC_x25_1,4/14/2024,5903,production,g,good,25.616,7.5,5.50,640335,13.13,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.86,0,7.142,12.9,0.996,-1,-1,-1,1,-1,-1,0,-1,12.9,12.82,12.68,2.9,357,672539,83,140,1600,800,50,20,1,57.61,27.23,0,0,0,-999999,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5904,production,g,good,25.616,7,12.45,1446546,30.59,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.821,0,7.067,12.08,0.997,-1,-1,-1,1,-1,-1,0,-1,12.08,12.01,11.92,2.9,357,630134,83,140,1600,800,50,20,1,57.62,27.12,0,0,0,-999999,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5905,production,g,good,25.616,7,11.58,1357595,29.82,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.856,0,7.186,13.12,0.995,-1,-1,-1,1,-1,-1,0,-1,13.12,13.04,12.86,2.9,357,684537,83,140,1600,800,50,20,1,57.64,27.08,0,0,0,0,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5906,production,g,good,25.616,7,12.51,1469566,30.19,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.822,0,7.221,12.61,0.996,-1,-1,-1,1,-1,-1,0,-1,12.61,12.54,12.41,2.9,357,659196,83,140,1600,800,50,20,1,57.64,26.9,0,0,0,0,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5907,production,g,good,25.616,7,12.19,1417385,30,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.833,0,7.093,10.99,0.996,-1,-1,-1,1,-1,-1,0,-1,10.99,10.92,11.04,2.9,357,570077,83,140,1600,800,50,20,1,57.53,26.78,0,0,0,0,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5908,production,g,good,25.616,7,10.43,1236895,29.72,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.885,0,7.15,9.56,0.994,-1,-1,-1,1,-1,-1,0,-1,9.56,9.51,9.85,2.9,357,492194,83,140,1600,800,50,20,1,57.82,26.65,0,0,0,-999999,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5909,production,u,good,25.616,7,9.13,1080071,30.86,LH2,ps4=0,sparse,"""""",2,5903,6.372,1.734,25.12,9.31,1.022,0,7.085,1.77,0.995,-1,-1,-1,1,-1,-1,0,-1,1.77,1.75,2.37,2.9,357,82276,83,140,1600,800,50,20,1,58.15,26.33,0,0,0,-999999,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5910,production,g,good,25.616,7,1.53,209066,16.7,LH2,ps4=0,sparse,"""short run no beam""",0,5903,6.372,1.734,25.12,9.31,4.803,0,6.683,10.72,0.995,-1,-1,-1,1,-1,-1,0,-1,10.72,10.65,13.17,2.9,357,520173,83,140,1600,800,50,20,1,58.8,25.89,0,0,0,0,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5911,production,g,good,25.616,7,9.43,1246971,78.06,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.825,0,7.033,10.64,0.997,-1,-1,-1,1,-1,-1,0,-1,10.64,10.58,10.68,2.9,357,553696,83,140,1600,800,50,20,1,58.83,25.85,0,0,0,0,2
x24_q21_p3,1,KinC_x25_1,4/14/2024,5912,production,g,good,25.616,7,10.02,1198522,29.51,LH2,ps4=0,sparse,"""""",0,5903,6.372,1.734,25.12,9.31,1.813,0,6.987,9.96,0.996,-1,-1,-1,1,-1,-1,0,-1,9.96,9.9,10.07,2.9,357,516988,83,140,1600,800,50,20,1,58.19,25.83,0,0,0,0,2
