day  , run , elastic_label          , Ibeam (uA), HMS mom, HMS angle, SHMS angle, calo angle, calo distance, target     , Beam pass, Collimator, prescale, event #, duration (min), Charge Accumulated, coin status, comments                                                                                                                                                                                 , source sheet     , source row
10/09, 1715, elastic                ,         28, -5.878 ,    16.483,     35.005,     18.72 , 3 m          , LH2-elastic,          ,           , ps4=0   ,  175268,          63   ,              94.56,            , sweep off                                                                                                                                                                                , KinC_x60_3       ,         17
10/09, 1716, elastic                ,         28, -5.878 ,    16.483,     35.005,     18.72 , 3 m          , LH2-elastic,          ,           , ps4=0   ,  157276,          46   ,              74.65,            , sweep off                                                                                                                                                                                , KinC_x60_3       ,         18
11/11, 2855, NPS elastic calibration,         40, 4.0782 ,    29.855,     32.88 ,     16.58 , 9.5          , LH2        ,         5, L         , ps3=0   ,  521219,          60.42,             118.72,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        174
11/11, 2856, NPS elastic calibration,         40, 4.0782 ,    29.855,     32.88 ,     16.58 , 9.5          , LH2        ,         5, L         , ps5=0   ,  231150,          69.86,             151.54,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        175
11/11, 2857, NPS elastic calibration,         40, 4.0782 ,    29.855,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  104988,          31.21,              66.97,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        176
11/11, 2858, NPS elastic calibration,         40, 4.0782 ,    29.855,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  100040,          29.54,              64.66,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        177
11/11, 2859, NPS elastic calibration,         40, 4.0782 ,    29.855,     31.845,     15.545, 9.5          , LH2        ,         5, L         , ps5=0   ,  231270,          69.31,             143.68,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        178
11/11, 2860, NPS elastic calibration,         40, 4.0782 ,    29.855,     30.828,     14.528, 9.5          , LH2        ,         5, L         , ps5=0   ,  207581,          62.42,             134.43,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        179
11/11, 2861, NPS elastic calibration,         40, 4.0782 ,    29.855,     30.828,     14.528, 9.5          , LH2        ,         5, L         , ps5=0   ,  226777,          69.97,             138.06,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        180
11/11, 2862, NPS elastic calibration,         40, 4.0782 ,    29.855,     32.882,     16.582, 9.5          , LH2        ,         5, L         , ps5=0   ,  220790,          67.25,             144.03,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        181
11/11, 2863, NPS elastic calibration,         40, 4.0782 ,    29.855,     32.882,     16.582, 9.5          , LH2        ,         5, L         , ps5=0   ,  139020,          46.02,              67.9 ,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        182
11/11, 2864, NPS elastic calibration,         40, 4.0782 ,    29.855,     32.882,     16.582, 9.5          , LH2        ,         5, L         , ps5=0   ,  118190,          36.34,              75.13,            , HMS Dipole NMR 1.103 T                                                                                                                                                                   , 5p_commissionning,        183
