new_kin   , kin_old     , target, ebeam_gev, hms_p_gev, hms_theta_deg, nps_theta_deg, nps_target_distance_cm, simc_spec_p_p_gev, simc_ngen, simc_target_x_offset_cm, simc_target_y_offset_cm, simc_target_z_offset_cm, simc_spec_e_p_offset_gev, simc_spec_e_theta_offset_deg, simc_hms_xptar_offset_mrad, simc_spec_p_x_offset_cm, simc_spec_p_y_offset_cm, simc_spec_p_z_offset_cm, geant4_nps_x_offset_cm, geant4_nps_y_offset_cm, geant4_nps_z_offset_cm, source_run, source_simc_infile                                                        , selection_rule                                                                                        , last_generated_utc
x24_q21_p3, KinC_x25_1  , LH2   ,  6.372000,  1.734000,     25.120000,      9.310000,             357.000000,          4.638000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       5903, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x26_q30_p4, KinC_x25_3  , LH2   ,  8.457000,  2.131000,     23.700000,     10.100000,             357.000000,          6.326000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       6571, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x26_q31_p5, KinC_x25_4  , LH2   , 10.537000,  4.149000,     15.200000,     11.200000,             407.000000,          6.388000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       4972, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q30_p3, KinC_x36_1  , LH2   ,  6.370000,  1.956000,     28.320000,     11.490000,             357.000000,          4.414000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       5990, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q30_p4, KinC_x36_2  , LH2   ,  8.457000,  4.042000,     17.010000,     14.360000,             307.000000,          4.415000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3013, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q30_p4, KinC_x36_2p , LH2   ,  8.457000,  4.042000,     17.010000,     12.460000,             307.000000,          4.415000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       2976, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q30_p4, KinC_x36_2pp, LH2   ,  8.456000,  4.042000,     17.010000,     16.600000,             307.000000,          4.414000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3063, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q30_p5, KinC_x36_3  , LH2   , 10.538000,  6.117000,     12.370000,     15.960000,             307.000000,          4.421000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       2047, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q40_p4, KinC_x36_4  , LH2   ,  8.455000,  2.562000,     24.780000,     10.100000,             357.000000,          5.893000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       6407, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q40_p5, KinC_x36_5  , LH2   , 10.537000,  4.637000,     16.430000,     12.110000,             307.000000,          5.900000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       2204, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
x36_q40_p5, KinC_x36_5p , LH2   , 10.538000,  4.637000,     16.440000,     14.000000,             407.000000,          5.901000,   1000000,                   0.131,                   0.005,                     0.0,                      0.0,                          0.0,                        0.0,                     0.0,                     0.0,                     0.0,                    0.0,                    0.0,                    0.0,       3991, /u/group/nps/singhav/simc_gfortran_updated/infiles/nps_excl_pi0_x60_4b.inp, "per Kin_old choose minimum valid run_number; Type=production,Production; target=LH2; goodness_code=0", 2026-08-21T20:38:26Z
